cc_card_last4,bank_txn_id,bank_date,bank_amount,current_allocated_to_wave,fifo_allocated_to_wave,delta_allocated,current_coverage_pct,fifo_coverage_pct
8154,1482,2023-11-30,158.99,0.00,0.00,0.00,0.0,0.0
8154,1483,2023-11-30,11.48,0.00,0.00,0.00,0.0,0.0
8154,1469,2023-12-01,2129.38,0.00,0.00,0.00,0.0,0.0
8154,1471,2023-12-01,46.58,0.00,0.00,0.00,0.0,0.0
8154,1476,2023-12-01,66.95,0.00,0.00,0.00,0.0,0.0
8154,1466,2023-12-04,31.31,0.00,0.00,0.00,0.0,0.0
8154,1458,2023-12-06,35.62,0.00,0.00,0.00,0.0,0.0
8154,1460,2023-12-06,1194.88,0.00,0.00,0.00,0.0,0.0
8154,1437,2023-12-19,1212.36,1212.36,1212.36,0.00,100.0,100.0
8154,1413,2024-01-04,35.60,0.00,0.00,0.00,0.0,0.0
8154,1399,2024-01-08,1996.38,0.00,0.00,0.00,0.0,0.0
8154,1401,2024-01-08,74.14,0.00,0.00,0.00,0.0,0.0
8154,1403,2024-01-08,20.10,0.00,0.00,0.00,0.0,0.0
8154,1394,2024-01-09,34.49,0.00,0.00,0.00,0.0,0.0
8154,1395,2024-01-09,22.99,0.00,0.00,0.00,0.0,0.0
8154,1378,2024-01-17,84.97,0.00,0.00,0.00,0.0,0.0
8154,1379,2024-01-17,39.99,0.00,0.00,0.00,0.0,0.0
8154,1347,2024-01-29,1489.80,0.00,0.00,0.00,0.0,0.0
8154,1341,2024-01-30,1521.97,0.00,0.00,0.00,0.0,0.0
8154,1334,2024-02-01,40.01,0.00,0.00,0.00,0.0,0.0
8154,1335,2024-02-01,1873.93,1873.93,0.00,-1873.93,100.0,0.0
8154,1318,2024-02-12,249.71,0.00,40.01,40.01,0.0,16.0
8154,1292,2024-02-22,2249.31,0.00,1873.93,1873.93,0.0,83.3
8154,1272,2024-02-26,98.97,0.00,0.00,0.00,0.0,0.0
8154,1268,2024-02-27,1665.98,1665.98,0.00,-1665.98,100.0,0.0
8154,1254,2024-03-06,1238.76,0.00,0.00,0.00,0.0,0.0
8154,1236,2024-03-11,143.62,0.00,0.00,0.00,0.0,0.0
8154,1216,2024-03-14,632.49,0.00,0.00,0.00,0.0,0.0
8154,1217,2024-03-14,45.95,0.00,0.00,0.00,0.0,0.0
8154,1219,2024-03-14,1612.59,0.00,807.55,807.55,0.0,50.1
8154,1195,2024-03-25,1325.74,1325.74,1325.74,0.00,100.0,100.0
8154,1174,2024-04-04,811.89,0.00,0.00,0.00,0.0,0.0
8154,1175,2024-04-04,1251.73,0.00,0.00,0.00,0.0,0.0
8154,1167,2024-04-08,203.78,0.00,0.00,0.00,0.0,0.0
8154,1168,2024-04-08,107.35,0.00,0.00,0.00,0.0,0.0
8154,1169,2024-04-08,19.95,0.00,0.00,0.00,0.0,0.0
8154,1155,2024-04-12,27.43,27.43,27.43,0.00,100.0,100.0
8154,1156,2024-04-12,14.46,0.00,0.00,0.00,0.0,0.0
