fy,vendor_key,wave_bill_id,source_row,invoice_date,vendor_raw,invoice_number,net_amount,tax_amount,account_code,amount,method,profile_id
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,2210,132.54,TAX_ITC,
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5002,19.18,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5004,226.53,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5005,16.19,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5007,10.68,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5013,25.28,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5014,17.00,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5016,15.86,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5021,12.95,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5031,2.10,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5032,248.90,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5033,5.18,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5034,233.07,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5035,13.59,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5039,12.79,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5099,101.15,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5100,25.90,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,5205,8.09,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,29,30,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,996.97,132.54,9000,2.53,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,2210,12.07,TAX_ITC,
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5002,1.55,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5004,18.29,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5005,1.31,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5007,0.86,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5013,2.04,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5014,1.37,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5016,1.28,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5021,1.05,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5031,0.17,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5032,20.09,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5033,0.42,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5034,18.81,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5035,1.10,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5039,1.03,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5099,8.16,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5100,2.09,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,5205,0.65,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,41,42,2023-09-07,Costco - Bill,,80.47,12.07,9000,0.20,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,2210,148.39,TAX_ITC,
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5002,26.46,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5004,312.46,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5005,22.33,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5007,14.73,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5013,34.87,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5014,23.44,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5016,21.88,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5021,17.86,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5031,2.90,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5032,343.31,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5033,7.14,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5034,321.48,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5035,18.75,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5039,17.64,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5099,139.51,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5100,35.73,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,5205,11.16,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,45,46,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,1375.13,148.39,9000,3.48,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,2210,246.03,TAX_ITC,
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5002,40.42,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5004,477.37,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5005,34.12,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5007,22.50,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5013,53.28,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5014,35.81,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5016,33.43,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5021,27.28,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5031,4.43,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5032,524.51,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5033,10.91,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5034,491.15,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5035,28.65,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5039,26.94,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5099,213.14,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5100,54.58,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,5205,17.06,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,61,62,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,2100.90,246.03,9000,5.32,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,2210,92.61,TAX_ITC,
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5002,21.60,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5004,255.11,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5005,18.23,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5007,12.02,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5013,28.47,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5014,19.14,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5016,17.87,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5021,14.58,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5031,2.37,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5032,280.30,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5033,5.83,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5034,262.48,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5035,15.31,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5039,14.40,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5099,113.91,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5100,29.17,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,5205,9.12,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,71,72,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,1122.75,92.61,9000,2.84,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,2210,80.25,TAX_ITC,
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5002,14.84,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5004,175.20,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5005,12.52,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5007,8.26,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5013,19.55,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5014,13.15,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5016,12.27,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5021,10.01,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5031,1.63,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5032,192.50,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5033,4.01,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5034,180.26,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5035,10.51,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5039,9.89,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5099,78.23,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5100,20.03,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,5205,6.26,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,80,81,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,771.07,80.25,9000,1.95,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,2210,8.16,TAX_ITC,
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5002,1.05,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5004,12.36,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5005,0.88,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5007,0.58,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5013,1.38,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5014,0.93,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5016,0.86,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5021,0.71,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5031,0.11,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5032,13.58,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5033,0.28,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5034,12.71,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5035,0.74,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5039,0.70,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5099,5.52,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5100,1.41,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,5205,0.44,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,99,100,2023-10-21,Costco - Bill,,54.38,8.16,9000,0.14,VENDOR_PROFILE_ESTIMATE,36
