cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,1344,2024-01-29,11.79,2024-01-29,0.00,11.79,11.79,0.00,-11.79,0.00,Internet Banking INTERNET TRANSFER000000231872 4500*********318
0318,1345,2024-01-29,11.07,2024-01-29,0.00,11.07,11.07,0.00,-11.07,0.00,Internet Banking INTERNET TRANSFER000000231729 4500*********318
0318,1346,2024-01-29,30.13,2024-01-29,0.00,30.13,30.13,0.00,-30.13,0.00,Internet Banking INTERNET TRANSFER000000210541 4500*********318
0318,1348,2024-01-29,25.88,2024-01-29,0.00,25.88,25.88,0.00,-25.88,0.00,Internet Banking INTERNET TRANSFER000000219667 4500*********318
0318,1349,2024-01-29,48.23,2024-01-29,0.00,48.23,48.23,0.00,-48.23,0.00,Internet Banking INTERNET TRANSFER000000219421 4500*********318
0318,1333,2024-02-01,67.80,2024-01-29,0.00,67.80,67.80,0.00,-67.80,0.00,Internet Banking INTERNET TRANSFER000000209307 4500*********318
0318,1336,2024-02-01,140.38,2024-02-01,0.00,140.38,140.38,0.00,-140.38,0.00,Internet Banking INTERNET TRANSFER000000108400 4500*********318
0318,1337,2024-02-01,434.74,2024-02-01,0.00,0.00,0.00,0.00,0.00,434.74,Internet Banking INTERNET TRANSFER000000100614 4500*********318
0318,1325,2024-02-07,82.03,2024-02-01,82.03,82.03,82.03,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000116745 4500*********318
0318,1326,2024-02-07,205.93,2024-02-07,0.00,205.93,205.93,0.00,-205.93,0.00,Internet Banking INTERNET TRANSFER000000105717 4500*********318
0318,1288,2024-02-22,51.30,2024-02-07,2006.70,51.30,51.30,0.00,1955.40,0.00,Internet Banking INTERNET TRANSFER000000215149 4500*********318
0318,1289,2024-02-22,119.82,2024-02-22,0.00,119.82,119.82,0.00,-119.82,0.00,Internet Banking INTERNET TRANSFER000000214197 4500*********318
0318,1293,2024-02-22,13.00,2024-02-22,0.00,13.00,13.00,0.00,-13.00,0.00,Internet Banking INTERNET TRANSFER000000209804 4500*********318
0318,1295,2024-02-22,105.54,2024-02-22,0.00,105.54,105.54,0.00,-105.54,0.00,Internet Banking INTERNET TRANSFER000000238389 4500*********318
0318,1298,2024-02-22,59.96,2024-02-22,0.00,59.96,59.96,0.00,-59.96,0.00,Internet Banking INTERNET TRANSFER000000237428 4500*********318
0318,1299,2024-02-22,11.47,2024-02-22,0.00,11.47,11.47,0.00,-11.47,0.00,Internet Banking INTERNET TRANSFER000000237240 4500*********318
0318,1300,2024-02-22,36.19,2024-02-22,0.00,36.19,36.19,0.00,-36.19,0.00,Internet Banking INTERNET TRANSFER000000213217 4500*********318
0318,1302,2024-02-22,961.43,2024-02-22,0.00,961.43,961.43,0.00,-961.43,0.00,Internet Banking INTERNET TRANSFER000000107176 4500*********318
0318,1270,2024-02-26,59.88,2024-02-22,137.79,59.88,59.88,0.00,77.91,0.00,Internet Banking INTERNET TRANSFER000000214130 4500*********318
0318,1271,2024-02-26,29.95,2024-02-26,0.00,29.95,29.95,0.00,-29.95,0.00,Internet Banking INTERNET TRANSFER000000213837 4500*********318
0318,1274,2024-02-26,47.96,2024-02-26,0.00,47.96,47.96,0.00,-47.96,0.00,Internet Banking INTERNET TRANSFER000000212597 4500*********318
0318,1275,2024-02-26,381.01,2024-02-26,0.00,381.01,381.01,0.00,-381.01,0.00,Internet Banking INTERNET TRANSFER000000212012 4500*********318
0318,1249,2024-03-06,12.07,2024-02-26,76.89,12.07,12.07,0.00,64.82,0.00,Internet Banking INTERNET TRANSFER000000213774 4500*********318
