wave_bill_id,entry_date,bill_total,bill_total_cents,settlement_amount,settlement_amount_cents,match_type,bank_txn_id,cc_txn_id,shareholder_code,shareholder_basis,journal_entry_id
151,2024-04-30,128.18,12818,128.18,12818,CC_PAYMENT_TRANSFER,1124,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_151
157,2024-01-08,74.14,7414,74.14,7414,CC_PURCHASE,,3922,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_157
158,2024-01-08,312.40,31240,312.40,31240,CC_PURCHASE,,1360,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_158
160,2024-01-08,288.65,28865,288.65,28865,CC_PURCHASE,,1362,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_160
161,2024-01-08,1996.38,199638,1996.38,199638,CC_PURCHASE,,3919,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_161
162,2024-01-08,38.42,3842,38.42,3842,CC_PURCHASE,,1358,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_162
163,2024-01-08,63.75,6375,63.75,6375,CC_PURCHASE,,1356,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_163
167,2024-01-15,7.38,738,7.38,738,CC_PURCHASE,,1343,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_167
168,2024-01-18,39.99,3999,39.99,3999,CC_PURCHASE,,3899,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_168
169,2024-01-18,84.97,8497,84.97,8497,CC_PURCHASE,,3898,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_169
170,2024-01-22,48.23,4823,48.23,4823,CC_PURCHASE,,1340,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_170
172,2024-01-30,1521.97,152197,1521.97,152197,CC_PAYMENT_TRANSFER,1341,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_172
173,2024-01-22,54.49,5449,54.49,5449,CC_PURCHASE,,1337,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_173
174,2024-01-22,7.38,738,7.38,738,CC_PURCHASE,,1336,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_174
175,2024-01-15,28.92,2892,28.92,2892,CC_PURCHASE,,1344,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_175
177,2024-01-24,11.79,1179,11.79,1179,CC_PURCHASE,,1322,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_177
178,2024-01-24,140.38,14038,140.38,14038,CC_PURCHASE,,1325,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_178
179,2024-01-25,1489.80,148980,1489.80,148980,CC_PURCHASE,,3887,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_179
180,2024-01-26,11.07,1107,11.07,1107,CC_PURCHASE,,1316,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_180
181,2024-01-26,25.88,2588,25.88,2588,CC_PURCHASE,,1317,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_181
183,2024-01-29,67.80,6780,67.80,6780,CC_PURCHASE,,1311,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_183
184,2024-01-29,30.13,3013,30.13,3013,CC_PURCHASE,,1310,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_184
186,2024-01-29,53.52,5352,53.52,5352,CC_PURCHASE,,1312,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_186
189,2024-02-02,1873.93,187393,1873.93,187393,CC_PURCHASE,,3874,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_189
190,2024-12-23,40.01,4001,40.01,4001,CC_PURCHASE,,3213,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_190
192,2024-02-05,82.03,8203,82.03,8203,CC_PURCHASE,,1295,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_192
194,2024-02-08,205.93,20593,205.93,20593,CC_PURCHASE,,1292,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_194
197,2024-02-12,249.71,24971,249.71,24971,CC_PURCHASE,,3863,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_197
200,2024-02-12,36.19,3619,36.19,3619,CC_PURCHASE,,1283,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_200
201,2024-02-13,61.05,6105,61.05,6105,CC_PURCHASE,,1277,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_201
202,2024-02-12,13.00,1300,13.00,1300,CC_PURCHASE,,1280,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_202
203,2024-02-14,11.47,1147,11.47,1147,CC_PURCHASE,,1274,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_203
