id,allocation_id,external_system,external_kind,external_id,notes
9c211b0a-67fa-5993-885f-d1ebc9aa8147,ed8a5406-c21a-50f3-aa38-9035ba07814e,gfs,invoice,9003468379,
6c923091-4c20-539f-8222-2aeacde7c8e0,ed8a5406-c21a-50f3-aa38-9035ba07814e,wave,bill,56,invoice_number=9003468379
e2794f92-8277-5548-8d68-edd08a83a339,73896f75-ccc0-5885-9821-64c46b65a70b,gfs,invoice,9003552766,
1862a198-8deb-5905-8cb7-ea31009fb040,73896f75-ccc0-5885-9821-64c46b65a70b,wave,bill,63,invoice_number=9003552766
a54aa72c-1e22-5bfa-a20f-caf400e20eea,81c90203-3a8b-56c0-9819-49239c696876,gfs,invoice,9003558293,
0b744b84-27ec-5801-a68e-7a871d2cc644,81c90203-3a8b-56c0-9819-49239c696876,wave,bill,62,invoice_number=9003558293
d5d0c3ad-4140-5d4f-bf96-6af3e055cc9b,31b3b8e3-63d9-596b-a2fc-7e545b50eec3,gfs,invoice,9003665333,
59d538d1-8f90-53a2-9d48-dcb914860941,31b3b8e3-63d9-596b-a2fc-7e545b50eec3,wave,bill,73,invoice_number=9003665333
c5bd3502-8c64-54ec-a472-716b9b6a5e41,f3e3923a-7be1-5289-a0d9-d6e36a8ec2bb,gfs,invoice,9003775625,
0d497a12-25b4-53d6-866a-3d03eddf34d6,f3e3923a-7be1-5289-a0d9-d6e36a8ec2bb,wave,bill,79,invoice_number=9003775625
674bd41c-e59a-50e3-8237-8236d45a1326,9c5ac7d5-1975-5668-a69e-18db62a75b6a,gfs,invoice,9003882687,
177d1030-1ff6-53ea-abd1-88242f3330ce,9c5ac7d5-1975-5668-a69e-18db62a75b6a,wave,bill,87,invoice_number=9003882687
821a4214-d972-5eb5-ade3-2ad95e6e5932,07129536-7315-5588-9b1f-01ca78208688,gfs,invoice,9003993508,
cf3141bc-f37c-5e1d-ad13-19446f51214d,07129536-7315-5588-9b1f-01ca78208688,wave,bill,96,invoice_number=9003993508
8285920a-02a1-5740-ae69-a6236e078ac3,c7f2eff3-85d7-549e-9771-21f01710eb36,gfs,invoice,9004092329,
1492487c-2f6e-58a0-84e8-eb8a77d8af6c,c7f2eff3-85d7-549e-9771-21f01710eb36,wave,bill,105,invoice_number=9004092329
08f7e7e8-804d-5151-9740-bcd60ac0bbe2,7d1f2b47-9eb8-5524-9828-6fe0fcf80fb7,gfs,invoice,9004106655,
0ffad848-3af0-571b-abb9-c94dee42bc3e,7d1f2b47-9eb8-5524-9828-6fe0fcf80fb7,wave,bill,107,invoice_number=9004106655
60331080-e95f-5e4b-b78a-18257fcd3a7c,fa398732-41da-5271-83ea-d228a5e186d4,gfs,invoice,9004135560,
4a4a48a3-6ace-571c-bde0-f5d31f08c5bb,fa398732-41da-5271-83ea-d228a5e186d4,wave,bill,109,invoice_number=9004135560
90969513-12ee-5d90-beec-7bb6f4b630c2,a19b228d-dcec-599d-b952-99d330bcb761,gfs,invoice,9004259902,
83630107-d4a9-5788-876d-fd92c5f2ca3f,a19b228d-dcec-599d-b952-99d330bcb761,wave,bill,115,invoice_number=9004259902
69ab2a08-3835-5a5b-a7df-7bb77ec55a17,8a0d4f72-a003-50b3-82e2-6c58a7f2fa0f,gfs,invoice,9004290341,
36175ec6-0d0b-5931-8a6a-c361b1f696d2,8a0d4f72-a003-50b3-82e2-6c58a7f2fa0f,wave,bill,117,invoice_number=9004290341
f6cf57b3-da75-5b9f-b22f-8748f429ee64,b9118b76-83cd-55ae-aa9a-26988085674c,gfs,invoice,9004309092,
915d6a4a-f724-50b6-b028-ce557622cdde,b9118b76-83cd-55ae-aa9a-26988085674c,wave,bill,116,invoice_number=9004309092
bf447aaa-c10a-56d9-b6a6-f4c3539805ef,873f8538-9272-5cac-b808-061b7e16c901,gfs,invoice,9004423490,
