bank_txn_id,bank_date,bank_debit_cents,bank_debit,evidence_category,category,allocation_scaled,raw_allocated_to_bills_cents,raw_allocated_to_bills,shareholder_account,matched_wave_bill_ids,match_methods,allocated_to_bills_cents,allocated_to_bills,remainder_cents,remainder,remainder_account,journal_entry_id
1291,2024-02-22,5292,52.92,REIMBURSEMENT,REIMBURSEMENT,0,5292,52.92,2400,209,WAVE_MATCHES,5292,52.92,0,0.00,,WAVE_BILL_REIMBURSE_1291
1294,2024-02-22,16663,166.63,REIMBURSEMENT,REIMBURSEMENT,0,16663,166.63,2400,213,WAVE_MATCHES,16663,166.63,0,0.00,,WAVE_BILL_REIMBURSE_1294
1296,2024-02-22,36076,360.76,REIMBURSEMENT,REIMBURSEMENT,0,36076,360.76,2400,214,WAVE_MATCHES,36076,360.76,0,0.00,,WAVE_BILL_REIMBURSE_1296
1297,2024-02-22,2370,23.70,REIMBURSEMENT,REIMBURSEMENT,0,2370,23.70,2400,212,WAVE_MATCHES,2370,23.70,0,0.00,,WAVE_BILL_REIMBURSE_1297
1301,2024-02-22,5061,50.61,REIMBURSEMENT,REIMBURSEMENT,0,5061,50.61,2400,215,WAVE_MATCHES,5061,50.61,0,0.00,,WAVE_BILL_REIMBURSE_1301
1316,2024-02-12,4140,41.40,REIMBURSEMENT,REIMBURSEMENT,0,4140,41.40,2400,199,WAVE_MATCHES,4140,41.40,0,0.00,,WAVE_BILL_REIMBURSE_1316
1317,2024-02-12,5743,57.43,REIMBURSEMENT,REIMBURSEMENT,0,5743,57.43,2400,196,WAVE_MATCHES,5743,57.43,0,0.00,,WAVE_BILL_REIMBURSE_1317
1323,2024-02-07,40000,400.00,REIMBURSEMENT,REIMBURSEMENT,0,40000,400.00,2410,166,WAVE_MATCHES,40000,400.00,0,0.00,,WAVE_BILL_REIMBURSE_1323
1324,2024-02-07,20000,200.00,REIMBURSEMENT,REIMBURSEMENT,0,20000,200.00,2400,195,WAVE_MATCHES,20000,200.00,0,0.00,,WAVE_BILL_REIMBURSE_1324
1350,2024-01-29,4000,40.00,REIMBURSEMENT,REIMBURSEMENT,0,4000,40.00,2400,769,WAVE_MATCHES,4000,40.00,0,0.00,,WAVE_BILL_REIMBURSE_1350
1351,2024-01-29,86250,862.50,REIMBURSEMENT,REIMBURSEMENT,0,86250,862.50,2400,187,WAVE_MATCHES,86250,862.50,0,0.00,,WAVE_BILL_REIMBURSE_1351
1382,2024-01-15,86250,862.50,RENT_REIMBURSEMENT,RENT_REIMBURSEMENT,0,86250,862.50,2410,191,WAVE_MATCHES,86250,862.50,0,0.00,,WAVE_BILL_REIMBURSE_1382
1390,2024-01-10,200000,2000.00,REIMBURSEMENT,REIMBURSEMENT,0,200000,2000.00,2410,126,WAVE_MATCHES,200000,2000.00,0,0.00,,WAVE_BILL_REIMBURSE_1390
1396,2024-01-09,27600,276.00,REIMBURSEMENT,REIMBURSEMENT,0,27600,276.00,2410,165,WAVE_MATCHES,27600,276.00,0,0.00,,WAVE_BILL_REIMBURSE_1396
1408,2024-01-04,21390,213.90,REIMBURSEMENT,REIMBURSEMENT,0,21390,213.90,2410,753,WAVE_BILL_FUNDING,21390,213.90,0,0.00,,WAVE_BILL_REIMBURSE_1408
1423,2023-12-28,988,9.88,REIMBURSEMENT,REIMBURSEMENT,0,988,9.88,2410,64,WAVE_MATCHES,988,9.88,0,0.00,,WAVE_BILL_REIMBURSE_1423
1425,2023-12-28,12072,120.72,REIMBURSEMENT,REIMBURSEMENT,0,12072,120.72,2400,711,WAVE_MATCHES,12072,120.72,0,0.00,,WAVE_BILL_REIMBURSE_1425
1447,2023-12-11,42635,426.35,REIMBURSEMENT,REIMBURSEMENT,0,42635,426.35,2400,145,WAVE_MATCHES,42635,426.35,0,0.00,,WAVE_BILL_REIMBURSE_1447
1461,2023-12-06,12072,120.72,REIMBURSEMENT,REIMBURSEMENT,0,12072,120.72,2400,710,WAVE_MATCHES,12072,120.72,0,0.00,,WAVE_BILL_REIMBURSE_1461
1470,2023-12-01,10230,102.30,REIMBURSEMENT,REIMBURSEMENT,0,10230,102.30,2400,130,WAVE_MATCHES,10230,102.30,0,0.00,,WAVE_BILL_REIMBURSE_1470
1477,2023-12-01,11687,116.87,REIMBURSEMENT,REIMBURSEMENT,0,11687,116.87,2410,752,WAVE_BILL_FUNDING,11687,116.87,0,0.00,,WAVE_BILL_REIMBURSE_1477
1478,2023-12-01,86250,862.50,REIMBURSEMENT,REIMBURSEMENT,0,86250,862.50,2410,111,WAVE_MATCHES,86250,862.50,0,0.00,,WAVE_BILL_REIMBURSE_1478
1492,2023-11-24,86250,862.50,REIMBURSEMENT,REIMBURSEMENT,0,86250,862.50,2410,136,WAVE_MATCHES,86250,862.50,0,0.00,,WAVE_BILL_REIMBURSE_1492
1503,2023-11-16,117102,1171.02,REIMBURSEMENT,REIMBURSEMENT,0,117102,1171.02,2410,750,WAVE_MATCHES,117102,1171.02,0,0.00,,WAVE_BILL_REIMBURSE_1503
1504,2023-11-16,143722,1437.22,REIMBURSEMENT,REIMBURSEMENT,0,143722,1437.22,2410,751,WAVE_BILL_FUNDING,143722,1437.22,0,0.00,,WAVE_BILL_REIMBURSE_1504
1521,2023-11-08,123252,1232.52,REIMBURSEMENT,REIMBURSEMENT,0,123251,1232.51,2410,121,WAVE_MATCHES,123251,1232.51,1,0.01,9100,WAVE_BILL_REIMBURSE_1521
1536,2023-11-02,8880,88.80,REIMBURSEMENT,REIMBURSEMENT,0,8880,88.80,2410,748,WAVE_BILL_FUNDING,8880,88.80,0,0.00,,WAVE_BILL_REIMBURSE_1536
1542,2023-11-01,248119,2481.19,REIMBURSEMENT,REIMBURSEMENT,0,248119,2481.19,2400,110,WAVE_MATCHES,248119,2481.19,0,0.00,,WAVE_BILL_REIMBURSE_1542
1559,2023-10-25,40919,409.19,REIMBURSEMENT,REIMBURSEMENT,0,40919,409.19,2410,104,WAVE_MATCHES,40919,409.19,0,0.00,,WAVE_BILL_REIMBURSE_1559
1572,2023-10-23,10410,104.10,REIMBURSEMENT,REIMBURSEMENT,0,10410,104.10,2410,746,WAVE_BILL_FUNDING,10410,104.10,0,0.00,,WAVE_BILL_REIMBURSE_1572
1576,2023-10-23,53875,538.75,REIMBURSEMENT,REIMBURSEMENT,0,53875,538.75,2410,747,WAVE_BILL_FUNDING,53875,538.75,0,0.00,,WAVE_BILL_REIMBURSE_1576
1615,2023-10-12,86250,862.50,REIMBURSEMENT,REIMBURSEMENT,0,86250,862.50,2410,768,WAVE_BILL_FUNDING,86250,862.50,0,0.00,,WAVE_BILL_REIMBURSE_1615
1617,2023-10-11,40000,400.00,REIMBURSEMENT,REIMBURSEMENT,0,40000,400.00,2400,719,WAVE_MATCHES,40000,400.00,0,0.00,,WAVE_BILL_REIMBURSE_1617
1618,2023-10-11,22259,222.59,REIMBURSEMENT,REIMBURSEMENT,0,22259,222.59,2410,4,WAVE_MATCHES,22259,222.59,0,0.00,,WAVE_BILL_REIMBURSE_1618
1639,2023-09-27,80500,805.00,RENT_REIMBURSEMENT,RENT_REIMBURSEMENT,0,80500,805.00,2410,1,WAVE_MATCHES,80500,805.00,0,0.00,,WAVE_BILL_REIMBURSE_1639
1640,2023-09-27,7627,76.27,REIMBURSEMENT,REIMBURSEMENT,0,7627,76.27,2410,722,WAVE_MATCHES,7627,76.27,0,0.00,,WAVE_BILL_REIMBURSE_1640
1641,2023-09-27,103745,1037.45,REIMBURSEMENT,REIMBURSEMENT,0,103745,1037.45,2410,42,WAVE_MATCHES,103745,1037.45,0,0.00,,WAVE_BILL_REIMBURSE_1641
1645,2023-09-26,86705,867.05,REIMBURSEMENT,REIMBURSEMENT,0,86705,867.05,2400,70,WAVE_MATCHES,86705,867.05,0,0.00,,WAVE_BILL_REIMBURSE_1645
1658,2023-09-18,12391,123.91,REIMBURSEMENT,REIMBURSEMENT,0,12391,123.91,2410,25,WAVE_MATCHES,12391,123.91,0,0.00,,WAVE_BILL_REIMBURSE_1658
1659,2023-09-18,115764,1157.64,REIMBURSEMENT,REIMBURSEMENT,0,115764,1157.64,2410,24,WAVE_MATCHES,115764,1157.64,0,0.00,,WAVE_BILL_REIMBURSE_1659
1660,2023-09-18,14004,140.04,REIMBURSEMENT,REIMBURSEMENT,0,14004,140.04,2410,7,WAVE_MATCHES,14004,140.04,0,0.00,,WAVE_BILL_REIMBURSE_1660
1661,2023-09-18,10250,102.50,REIMBURSEMENT,REIMBURSEMENT,0,10250,102.50,2410,8,WAVE_MATCHES,10250,102.50,0,0.00,,WAVE_BILL_REIMBURSE_1661
1662,2023-09-18,26568,265.68,REIMBURSEMENT,REIMBURSEMENT,0,26568,265.68,2410,5,WAVE_MATCHES,26568,265.68,0,0.00,,WAVE_BILL_REIMBURSE_1662
1689,2023-07-05,40250,402.50,RENT_REIMBURSEMENT,RENT_REIMBURSEMENT,0,40250,402.50,2410,13,WAVE_MATCHES,40250,402.50,0,0.00,,WAVE_BILL_REIMBURSE_1689
