bank_txn_id,bank_date,category,amount_cents,amount,journal_entry_id
1453,2023-12-11,SHOPIFY_PAYOUT,9450,94.50,BANK_INFLOW_SHOPIFY_PAYOUT_1453
1445,2023-12-12,SHOPIFY_PAYOUT,19950,199.50,BANK_INFLOW_SHOPIFY_PAYOUT_1445
1443,2023-12-13,SHOPIFY_PAYOUT,274492,2744.92,BANK_INFLOW_SHOPIFY_PAYOUT_1443
1442,2023-12-15,SHOPIFY_PAYOUT,480,4.80,BANK_INFLOW_SHOPIFY_PAYOUT_1442
1440,2023-12-18,SHOPIFY_PAYOUT,36486,364.86,BANK_INFLOW_SHOPIFY_PAYOUT_1440
1439,2023-12-19,SHOPIFY_PAYOUT,34931,349.31,BANK_INFLOW_SHOPIFY_PAYOUT_1439
1436,2023-12-20,SHOPIFY_PAYOUT,244949,2449.49,BANK_INFLOW_SHOPIFY_PAYOUT_1436
1435,2023-12-21,SHOPIFY_PAYOUT,16371,163.71,BANK_INFLOW_SHOPIFY_PAYOUT_1435
1434,2023-12-22,SHOPIFY_PAYOUT,6552,65.52,BANK_INFLOW_SHOPIFY_PAYOUT_1434
1429,2023-12-27,CASH_DEPOSIT,355000,3550.00,BANK_INFLOW_CASH_DEPOSIT_1429
1432,2023-12-27,SHOPIFY_PAYOUT,3040,30.40,BANK_INFLOW_SHOPIFY_PAYOUT_1432
1427,2023-12-28,SHOPIFY_PAYOUT,43981,439.81,BANK_INFLOW_SHOPIFY_PAYOUT_1427
1417,2024-01-03,SHOPIFY_PAYOUT,4134,41.34,BANK_INFLOW_SHOPIFY_PAYOUT_1417
1407,2024-01-04,SHOPIFY_PAYOUT,130143,1301.43,BANK_INFLOW_SHOPIFY_PAYOUT_1407
1405,2024-01-05,VENDOR_CREDIT_MEMO,20451,204.51,BANK_INFLOW_VENDOR_CREDIT_MEMO_1405
1406,2024-01-05,SHOPIFY_PAYOUT,5043,50.43,BANK_INFLOW_SHOPIFY_PAYOUT_1406
1400,2024-01-08,SHOPIFY_PAYOUT,9807,98.07,BANK_INFLOW_SHOPIFY_PAYOUT_1400
1392,2024-01-09,CASH_DEPOSIT,450000,4500.00,BANK_INFLOW_CASH_DEPOSIT_1392
1397,2024-01-09,SHOPIFY_PAYOUT,16759,167.59,BANK_INFLOW_SHOPIFY_PAYOUT_1397
1389,2024-01-10,SHOPIFY_PAYOUT,329035,3290.35,BANK_INFLOW_SHOPIFY_PAYOUT_1389
1386,2024-01-11,SHOPIFY_PAYOUT,5962,59.62,BANK_INFLOW_SHOPIFY_PAYOUT_1386
1385,2024-01-12,SHOPIFY_PAYOUT,6867,68.67,BANK_INFLOW_SHOPIFY_PAYOUT_1385
1383,2024-01-15,SHOPIFY_PAYOUT,10309,103.09,BANK_INFLOW_SHOPIFY_PAYOUT_1383
1381,2024-01-16,SHOPIFY_PAYOUT,437,4.37,BANK_INFLOW_SHOPIFY_PAYOUT_1381
1377,2024-01-17,SHOPIFY_PAYOUT,265039,2650.39,BANK_INFLOW_SHOPIFY_PAYOUT_1377
1376,2024-01-18,SHOPIFY_PAYOUT,9870,98.70,BANK_INFLOW_SHOPIFY_PAYOUT_1376
1375,2024-01-19,SHOPIFY_PAYOUT,2997,29.97,BANK_INFLOW_SHOPIFY_PAYOUT_1375
1373,2024-01-22,SHOPIFY_PAYOUT,8320,83.20,BANK_INFLOW_SHOPIFY_PAYOUT_1373
1361,2024-01-23,SHOPIFY_PAYOUT,22685,226.85,BANK_INFLOW_SHOPIFY_PAYOUT_1361
1360,2024-01-24,SHOPIFY_PAYOUT,155719,1557.19,BANK_INFLOW_SHOPIFY_PAYOUT_1360
1359,2024-01-25,SHOPIFY_PAYOUT,14675,146.75,BANK_INFLOW_SHOPIFY_PAYOUT_1359
1358,2024-01-26,SHOPIFY_PAYOUT,880,8.80,BANK_INFLOW_SHOPIFY_PAYOUT_1358
1354,2024-01-29,CASH_DEPOSIT,120750,1207.50,BANK_INFLOW_CASH_DEPOSIT_1354
1355,2024-01-29,CASH_DEPOSIT,403000,4030.00,BANK_INFLOW_CASH_DEPOSIT_1355
1356,2024-01-29,SHOPIFY_PAYOUT,4143,41.43,BANK_INFLOW_SHOPIFY_PAYOUT_1356
1342,2024-01-30,SHOPIFY_PAYOUT,75559,755.59,BANK_INFLOW_SHOPIFY_PAYOUT_1342
1340,2024-01-31,SHOPIFY_PAYOUT,391567,3915.67,BANK_INFLOW_SHOPIFY_PAYOUT_1340
1338,2024-02-01,SHOPIFY_PAYOUT,707,7.07,BANK_INFLOW_SHOPIFY_PAYOUT_1338
1332,2024-02-02,SHOPIFY_PAYOUT,6234,62.34,BANK_INFLOW_SHOPIFY_PAYOUT_1332
1330,2024-02-05,SHOPIFY_PAYOUT,10077,100.77,BANK_INFLOW_SHOPIFY_PAYOUT_1330
1328,2024-02-06,SHOPIFY_PAYOUT,16415,164.15,BANK_INFLOW_SHOPIFY_PAYOUT_1328
1327,2024-02-07,SHOPIFY_PAYOUT,195791,1957.91,BANK_INFLOW_SHOPIFY_PAYOUT_1327
1321,2024-02-09,SHOPIFY_PAYOUT,3799,37.99,BANK_INFLOW_SHOPIFY_PAYOUT_1321
1319,2024-02-12,SHOPIFY_PAYOUT,6963,69.63,BANK_INFLOW_SHOPIFY_PAYOUT_1319
1313,2024-02-13,SHOPIFY_PAYOUT,23592,235.92,BANK_INFLOW_SHOPIFY_PAYOUT_1313
1312,2024-02-14,SHOPIFY_PAYOUT,323095,3230.95,BANK_INFLOW_SHOPIFY_PAYOUT_1312
1311,2024-02-15,SHOPIFY_PAYOUT,9968,99.68,BANK_INFLOW_SHOPIFY_PAYOUT_1311
1310,2024-02-16,SHOPIFY_PAYOUT,4010,40.10,BANK_INFLOW_SHOPIFY_PAYOUT_1310
1308,2024-02-19,SHOPIFY_PAYOUT,19524,195.24,BANK_INFLOW_SHOPIFY_PAYOUT_1308
1306,2024-02-20,SHOPIFY_PAYOUT,12728,127.28,BANK_INFLOW_SHOPIFY_PAYOUT_1306
1304,2024-02-21,CASH_DEPOSIT,580000,5800.00,BANK_INFLOW_CASH_DEPOSIT_1304
1305,2024-02-21,SHOPIFY_PAYOUT,401266,4012.66,BANK_INFLOW_SHOPIFY_PAYOUT_1305
1303,2024-02-22,SHOPIFY_PAYOUT,179950,1799.50,BANK_INFLOW_SHOPIFY_PAYOUT_1303
1283,2024-02-23,SHOPIFY_PAYOUT,715,7.15,BANK_INFLOW_SHOPIFY_PAYOUT_1283
1281,2024-02-26,SHOPIFY_PAYOUT,5345,53.45,BANK_INFLOW_SHOPIFY_PAYOUT_1281
1269,2024-02-27,SHOPIFY_PAYOUT,23297,232.97,BANK_INFLOW_SHOPIFY_PAYOUT_1269
1267,2024-02-28,SHOPIFY_PAYOUT,292335,2923.35,BANK_INFLOW_SHOPIFY_PAYOUT_1267
1265,2024-02-29,SHOPIFY_PAYOUT,21744,217.44,BANK_INFLOW_SHOPIFY_PAYOUT_1265
1263,2024-03-01,SHOPIFY_PAYOUT,3365,33.65,BANK_INFLOW_SHOPIFY_PAYOUT_1263
1259,2024-03-04,CASH_DEPOSIT,177000,1770.00,BANK_INFLOW_CASH_DEPOSIT_1259
1261,2024-03-04,SHOPIFY_PAYOUT,22544,225.44,BANK_INFLOW_SHOPIFY_PAYOUT_1261
1257,2024-03-05,SHOPIFY_PAYOUT,13887,138.87,BANK_INFLOW_SHOPIFY_PAYOUT_1257
1256,2024-03-06,SHOPIFY_PAYOUT,199489,1994.89,BANK_INFLOW_SHOPIFY_PAYOUT_1256
1245,2024-03-07,CASH_DEPOSIT,268300,2683.00,BANK_INFLOW_CASH_DEPOSIT_1245
1246,2024-03-07,SHOPIFY_PAYOUT,8196,81.96,BANK_INFLOW_SHOPIFY_PAYOUT_1246
1244,2024-03-08,SHOPIFY_PAYOUT,4630,46.30,BANK_INFLOW_SHOPIFY_PAYOUT_1244
1241,2024-03-11,SHOPIFY_PAYOUT,66706,667.06,BANK_INFLOW_SHOPIFY_PAYOUT_1241
1226,2024-03-12,CASH_DEPOSIT,190000,1900.00,BANK_INFLOW_CASH_DEPOSIT_1226
1227,2024-03-12,SHOPIFY_PAYOUT,9892,98.92,BANK_INFLOW_SHOPIFY_PAYOUT_1227
1222,2024-03-13,SHOPIFY_PAYOUT,548280,5482.80,BANK_INFLOW_SHOPIFY_PAYOUT_1222
1220,2024-03-14,SHOPIFY_PAYOUT,7809,78.09,BANK_INFLOW_SHOPIFY_PAYOUT_1220
1215,2024-03-15,SHOPIFY_PAYOUT,20250,202.50,BANK_INFLOW_SHOPIFY_PAYOUT_1215
1210,2024-03-19,SHOPIFY_PAYOUT,24936,249.36,BANK_INFLOW_SHOPIFY_PAYOUT_1210
1209,2024-03-20,SHOPIFY_PAYOUT,391540,3915.40,BANK_INFLOW_SHOPIFY_PAYOUT_1209
1202,2024-03-21,SHOPIFY_PAYOUT,9385,93.85,BANK_INFLOW_SHOPIFY_PAYOUT_1202
1200,2024-03-25,SHOPIFY_PAYOUT,267798,2677.98,BANK_INFLOW_SHOPIFY_PAYOUT_1200
1191,2024-03-26,CASH_DEPOSIT,888000,8880.00,BANK_INFLOW_CASH_DEPOSIT_1191
1192,2024-03-26,SHOPIFY_PAYOUT,34286,342.86,BANK_INFLOW_SHOPIFY_PAYOUT_1192
1188,2024-03-27,SHOPIFY_PAYOUT,552431,5524.31,BANK_INFLOW_SHOPIFY_PAYOUT_1188
1186,2024-03-28,SHOPIFY_PAYOUT,9452,94.52,BANK_INFLOW_SHOPIFY_PAYOUT_1186
1183,2024-04-01,SHOPIFY_PAYOUT,14020,140.20,BANK_INFLOW_SHOPIFY_PAYOUT_1183
1180,2024-04-02,SHOPIFY_PAYOUT,7607,76.07,BANK_INFLOW_SHOPIFY_PAYOUT_1180
1177,2024-04-03,SHOPIFY_PAYOUT,114661,1146.61,BANK_INFLOW_SHOPIFY_PAYOUT_1177
1176,2024-04-04,SHOPIFY_PAYOUT,10959,109.59,BANK_INFLOW_SHOPIFY_PAYOUT_1176
1172,2024-04-05,SHOPIFY_PAYOUT,10433,104.33,BANK_INFLOW_SHOPIFY_PAYOUT_1172
1170,2024-04-08,SHOPIFY_PAYOUT,10488,104.88,BANK_INFLOW_SHOPIFY_PAYOUT_1170
1162,2024-04-09,SHOPIFY_PAYOUT,214713,2147.13,BANK_INFLOW_SHOPIFY_PAYOUT_1162
1161,2024-04-10,SHOPIFY_PAYOUT,42277,422.77,BANK_INFLOW_SHOPIFY_PAYOUT_1161
1160,2024-04-11,SHOPIFY_PAYOUT,224819,2248.19,BANK_INFLOW_SHOPIFY_PAYOUT_1160
1159,2024-04-12,SHOPIFY_PAYOUT,54428,544.28,BANK_INFLOW_SHOPIFY_PAYOUT_1159
1151,2024-04-15,SHOPIFY_PAYOUT,-2709,-27.09,BANK_INFLOW_SHOPIFY_PAYOUT_1151
1150,2024-04-16,SHOPIFY_PAYOUT,16636,166.36,BANK_INFLOW_SHOPIFY_PAYOUT_1150
1142,2024-04-17,SHOPIFY_PAYOUT,568781,5687.81,BANK_INFLOW_SHOPIFY_PAYOUT_1142
1140,2024-04-18,SHOPIFY_PAYOUT,6024,60.24,BANK_INFLOW_SHOPIFY_PAYOUT_1140
1139,2024-04-19,SHOPIFY_PAYOUT,10275,102.75,BANK_INFLOW_SHOPIFY_PAYOUT_1139
1130,2024-04-22,CASH_DEPOSIT,1060000,10600.00,BANK_INFLOW_CASH_DEPOSIT_1130
1138,2024-04-22,SHOPIFY_PAYOUT,7290,72.90,BANK_INFLOW_SHOPIFY_PAYOUT_1138
1129,2024-04-23,SHOPIFY_PAYOUT,5646,56.46,BANK_INFLOW_SHOPIFY_PAYOUT_1129
1126,2024-04-24,SHOPIFY_PAYOUT,191714,1917.14,BANK_INFLOW_SHOPIFY_PAYOUT_1126
1112,2024-05-08,SHOPIFY_PAYOUT,165886,1658.86,BANK_INFLOW_SHOPIFY_PAYOUT_1112
1108,2024-05-14,SHOPIFY_PAYOUT,76783,767.83,BANK_INFLOW_SHOPIFY_PAYOUT_1108
1107,2024-05-15,SHOPIFY_PAYOUT,4395,43.95,BANK_INFLOW_SHOPIFY_PAYOUT_1107
1101,2024-05-22,SHOPIFY_PAYOUT,36671,366.71,BANK_INFLOW_SHOPIFY_PAYOUT_1101
1095,2024-05-29,SHOPIFY_PAYOUT,40468,404.68,BANK_INFLOW_SHOPIFY_PAYOUT_1095
1091,2024-06-05,SHOPIFY_PAYOUT,13452,134.52,BANK_INFLOW_SHOPIFY_PAYOUT_1091
1089,2024-06-11,CASH_DEPOSIT,173915,1739.15,BANK_INFLOW_CASH_DEPOSIT_1089
1088,2024-06-12,SHOPIFY_PAYOUT,70285,702.85,BANK_INFLOW_SHOPIFY_PAYOUT_1088
1087,2024-06-14,VENDOR_CREDIT_MEMO,38089,380.89,BANK_INFLOW_VENDOR_CREDIT_MEMO_1087
1084,2024-06-19,SHOPIFY_PAYOUT,73791,737.91,BANK_INFLOW_SHOPIFY_PAYOUT_1084
1078,2024-07-15,SHOPIFY_PAYOUT,1924,19.24,BANK_INFLOW_SHOPIFY_PAYOUT_1078
1075,2024-08-07,SHOPIFY_PAYOUT,9009,90.09,BANK_INFLOW_SHOPIFY_PAYOUT_1075
1050,2024-09-05,SHOPIFY_PAYOUT,127744,1277.44,BANK_INFLOW_SHOPIFY_PAYOUT_1050
1047,2024-09-06,SHOPIFY_PAYOUT,63302,633.02,BANK_INFLOW_SHOPIFY_PAYOUT_1047
1046,2024-09-09,SHOPIFY_PAYOUT,39569,395.69,BANK_INFLOW_SHOPIFY_PAYOUT_1046
1037,2024-09-10,SHOPIFY_PAYOUT,36132,361.32,BANK_INFLOW_SHOPIFY_PAYOUT_1037
1035,2024-09-11,SHOPIFY_PAYOUT,243045,2430.45,BANK_INFLOW_SHOPIFY_PAYOUT_1035
1033,2024-09-12,SHOPIFY_PAYOUT,19803,198.03,BANK_INFLOW_SHOPIFY_PAYOUT_1033
1032,2024-09-13,SHOPIFY_PAYOUT,28263,282.63,BANK_INFLOW_SHOPIFY_PAYOUT_1032
1030,2024-09-16,SHOPIFY_PAYOUT,28225,282.25,BANK_INFLOW_SHOPIFY_PAYOUT_1030
1025,2024-09-17,SHOPIFY_PAYOUT,29824,298.24,BANK_INFLOW_SHOPIFY_PAYOUT_1025
1018,2024-09-18,SHOPIFY_PAYOUT,275592,2755.92,BANK_INFLOW_SHOPIFY_PAYOUT_1018
1017,2024-09-19,SHOPIFY_PAYOUT,15948,159.48,BANK_INFLOW_SHOPIFY_PAYOUT_1017
1016,2024-09-20,SHOPIFY_PAYOUT,11086,110.86,BANK_INFLOW_SHOPIFY_PAYOUT_1016
1010,2024-09-23,SHOPIFY_PAYOUT,17567,175.67,BANK_INFLOW_SHOPIFY_PAYOUT_1010
1002,2024-09-24,SHOPIFY_PAYOUT,33706,337.06,BANK_INFLOW_SHOPIFY_PAYOUT_1002
1001,2024-09-25,SHOPIFY_PAYOUT,320743,3207.43,BANK_INFLOW_SHOPIFY_PAYOUT_1001
1000,2024-09-26,SHOPIFY_PAYOUT,18240,182.40,BANK_INFLOW_SHOPIFY_PAYOUT_1000
999,2024-09-27,SHOPIFY_PAYOUT,17935,179.35,BANK_INFLOW_SHOPIFY_PAYOUT_999
979,2024-10-01,SHOPIFY_PAYOUT,16826,168.26,BANK_INFLOW_SHOPIFY_PAYOUT_979
987,2024-10-01,CASH_DEPOSIT,1001000,10010.00,BANK_INFLOW_CASH_DEPOSIT_987
978,2024-10-02,SHOPIFY_PAYOUT,12241,122.41,BANK_INFLOW_SHOPIFY_PAYOUT_978
974,2024-10-03,SHOPIFY_PAYOUT,761865,7618.65,BANK_INFLOW_SHOPIFY_PAYOUT_974
973,2024-10-04,SHOPIFY_PAYOUT,14884,148.84,BANK_INFLOW_SHOPIFY_PAYOUT_973
964,2024-10-07,SHOPIFY_PAYOUT,6704,67.04,BANK_INFLOW_SHOPIFY_PAYOUT_964
958,2024-10-08,SHOPIFY_PAYOUT,26076,260.76,BANK_INFLOW_SHOPIFY_PAYOUT_958
957,2024-10-09,SHOPIFY_PAYOUT,98662,986.62,BANK_INFLOW_SHOPIFY_PAYOUT_957
956,2024-10-10,SHOPIFY_PAYOUT,10560,105.60,BANK_INFLOW_SHOPIFY_PAYOUT_956
955,2024-10-11,SHOPIFY_PAYOUT,26140,261.40,BANK_INFLOW_SHOPIFY_PAYOUT_955
941,2024-10-15,SHOPIFY_PAYOUT,1767,17.67,BANK_INFLOW_SHOPIFY_PAYOUT_941
938,2024-10-16,CASH_DEPOSIT,15000,150.00,BANK_INFLOW_CASH_DEPOSIT_938
939,2024-10-16,CASH_DEPOSIT,904000,9040.00,BANK_INFLOW_CASH_DEPOSIT_939
940,2024-10-16,SHOPIFY_PAYOUT,24434,244.34,BANK_INFLOW_SHOPIFY_PAYOUT_940
934,2024-10-17,SHOPIFY_PAYOUT,820226,8202.26,BANK_INFLOW_SHOPIFY_PAYOUT_934
932,2024-10-18,SHOPIFY_PAYOUT,17135,171.35,BANK_INFLOW_SHOPIFY_PAYOUT_932
930,2024-10-21,SHOPIFY_PAYOUT,7557,75.57,BANK_INFLOW_SHOPIFY_PAYOUT_930
919,2024-10-22,SHOPIFY_PAYOUT,30349,303.49,BANK_INFLOW_SHOPIFY_PAYOUT_919
908,2024-10-23,SHOPIFY_PAYOUT,400941,4009.41,BANK_INFLOW_SHOPIFY_PAYOUT_908
907,2024-10-24,SHOPIFY_PAYOUT,24551,245.51,BANK_INFLOW_SHOPIFY_PAYOUT_907
901,2024-10-25,SHOPIFY_PAYOUT,19637,196.37,BANK_INFLOW_SHOPIFY_PAYOUT_901
899,2024-10-28,SHOPIFY_PAYOUT,4627,46.27,BANK_INFLOW_SHOPIFY_PAYOUT_899
885,2024-10-29,CASH_DEPOSIT,600170,6001.70,BANK_INFLOW_CASH_DEPOSIT_885
886,2024-10-29,SHOPIFY_PAYOUT,176069,1760.69,BANK_INFLOW_SHOPIFY_PAYOUT_886
883,2024-10-30,SHOPIFY_PAYOUT,544256,5442.56,BANK_INFLOW_SHOPIFY_PAYOUT_883
881,2024-10-31,SHOPIFY_PAYOUT,31087,310.87,BANK_INFLOW_SHOPIFY_PAYOUT_881
878,2024-11-01,SHOPIFY_PAYOUT,15409,154.09,BANK_INFLOW_SHOPIFY_PAYOUT_878
871,2024-11-04,SHOPIFY_PAYOUT,7482,74.82,BANK_INFLOW_SHOPIFY_PAYOUT_871
863,2024-11-05,SHOPIFY_PAYOUT,791,7.91,BANK_INFLOW_SHOPIFY_PAYOUT_863
861,2024-11-06,SHOPIFY_PAYOUT,671646,6716.46,BANK_INFLOW_SHOPIFY_PAYOUT_861
855,2024-11-07,SHOPIFY_PAYOUT,32818,328.18,BANK_INFLOW_SHOPIFY_PAYOUT_855
854,2024-11-08,SHOPIFY_PAYOUT,14328,143.28,BANK_INFLOW_SHOPIFY_PAYOUT_854
