id,bank_txn_id,target_type,target_id,amount_cents,notes,created_at
69,1204,WAVE_BILL,267,5421,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1184 cc_purchase_txn_id=1179,2026-01-21 17:59:31
70,1194,WAVE_BILL,271,23656,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1167 cc_purchase_txn_id=1170,2026-01-21 17:59:31
71,1193,WAVE_BILL,270,4118,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1168 cc_purchase_txn_id=1174,2026-01-21 17:59:31
72,1195,WAVE_BILL,268,132574,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3775 cc_purchase_txn_id=3782,2026-01-21 17:59:31
73,1155,WAVE_BILL,290,2743,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3734 cc_purchase_txn_id=3744,2026-01-21 17:59:31
74,1157,WAVE_BILL,289,66747,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3738 cc_purchase_txn_id=3742,2026-01-21 17:59:31
75,1145,WAVE_BILL,295,2988,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1131 cc_purchase_txn_id=1141,2026-01-21 17:59:31
76,1146,WAVE_BILL,293,3515,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1134 cc_purchase_txn_id=1144,2026-01-21 17:59:31
77,1135,WAVE_BILL,298,6549,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1119 cc_purchase_txn_id=1124,2026-01-21 17:59:31
78,1136,WAVE_BILL,299,2892,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1120 cc_purchase_txn_id=1125,2026-01-21 17:59:31
79,1137,WAVE_BILL,292,9492,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1121 cc_purchase_txn_id=1143,2026-01-21 17:59:31
80,1120,WAVE_BILL,308,1990,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1087 cc_purchase_txn_id=1093,2026-01-21 17:59:31
81,1119,WAVE_BILL,306,6328,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1088 cc_purchase_txn_id=1095,2026-01-21 17:59:31
82,1118,WAVE_BILL,307,20989,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1089 cc_purchase_txn_id=1094,2026-01-21 17:59:31
83,1115,WAVE_BILL,309,2008,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1085 cc_purchase_txn_id=1086,2026-01-21 17:59:31
84,1104,WAVE_BILL,315,7111,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1050 cc_purchase_txn_id=1059,2026-01-21 17:59:31
85,1097,WAVE_BILL,316,2964,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1035 cc_purchase_txn_id=1036,2026-01-21 17:59:31
86,1093,WAVE_BILL,318,3481,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1022 cc_purchase_txn_id=1025,2026-01-21 17:59:31
87,1094,WAVE_BILL,319,21352,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1023 cc_purchase_txn_id=1024,2026-01-21 17:59:31
88,1079,WAVE_BILL,325,2978,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=957 cc_purchase_txn_id=962,2026-01-21 17:59:31
89,1072,WAVE_BILL,331,13555,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=903 cc_purchase_txn_id=913,2026-01-21 17:59:31
90,1073,WAVE_BILL,329,1401,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=905 cc_purchase_txn_id=916,2026-01-21 17:59:31
91,1054,WAVE_BILL,337,4053,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=864 cc_purchase_txn_id=872,2026-01-21 17:59:31
92,1023,WAVE_BILL,360,3044,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=843 cc_purchase_txn_id=856,2026-01-21 17:59:31
93,980,WAVE_BILL,244,80755,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3452 cc_purchase_txn_id=3808,2026-01-21 17:59:31
94,952,WAVE_BILL,416,53107,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=810 cc_purchase_txn_id=813,2026-01-21 17:59:31
95,889,WAVE_BILL,444,9302,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=778 cc_purchase_txn_id=781,2026-01-21 17:59:31
96,873,WAVE_BILL,458,62763,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=771 cc_purchase_txn_id=775,2026-01-21 17:59:31
97,841,WAVE_BILL,466,57059,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=743 cc_purchase_txn_id=755,2026-01-21 17:59:31
98,783,WAVE_BILL,492,21846,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3293 cc_purchase_txn_id=3321,2026-01-21 17:59:31
99,784,WAVE_BILL,494,2476,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3294 cc_purchase_txn_id=3320,2026-01-21 17:59:31
100,780,WAVE_BILL,488,2466,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3295 cc_purchase_txn_id=3327,2026-01-21 17:59:31
101,778,WAVE_BILL,486,40000,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3297 cc_purchase_txn_id=3326,2026-01-21 17:59:31
102,775,WAVE_BILL,499,36859,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3298 cc_purchase_txn_id=3306,2026-01-21 17:59:31
103,745,WAVE_BILL,515,7579,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3256 cc_purchase_txn_id=3279,2026-01-21 17:59:31
104,740,WAVE_BILL,524,68884,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=705 cc_purchase_txn_id=707,2026-01-21 17:59:31
105,679,WAVE_BILL,550,69166,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=676 cc_purchase_txn_id=683,2026-01-21 17:59:31
106,612,WAVE_BILL,575,40000,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3106 cc_purchase_txn_id=3131,2026-01-21 17:59:31
